IndiceBTCMtR,LiquidezMedida,CostofTrade,time
3333346.1492053424,5.36362385,50803.284820886176,2020-12-17T19:26:06Z
3333347.194558096,5.70153046,35378.078296137646,2020-12-17T19:27:07Z
3332811.8821055065,5.8820641,49982.07881410916,2020-12-17T19:28:07Z
3322818.712546993,4.11286905,54700.78800254936,2020-12-17T19:29:08Z
3322855.8590371492,5.0241355,51300.66156546216,2020-12-17T19:30:09Z
3318037.953322089,5.34049318,50808.55675198944,2020-12-17T19:31:09Z
3311718.603787678,6.27188935,48868.03669638783,2020-12-17T19:32:10Z
3315335.79943971,5.10226988,51180.87480168895,2020-12-17T19:33:11Z
3326562.574666112,4.74232907,34943.46754457425,2020-12-17T19:34:12Z
3337199.257395871,5.25587154,52304.38296862845,2020-12-17T19:35:12Z
3335186.58847582,6.25257874,49554.900310451834,2020-12-17T19:36:13Z
